group,test_run_id,trial_id,gas,total_tokens,cost_of_synthesis_usd,model_name,project_id
qwen3.6Sol,82,182,424743,44353,0.48176449999999993,qwen3-solidity-27B-Q6_K.gguf,1
qwen3.6Sol,83,184,388984,49195,0.607647,qwen3-solidity-27B-Q6_K.gguf,1
qwen3.6Sol,84,187,840032,20073,0.20447550000000003,qwen3-solidity-27B-Q6_K.gguf,1
qwen3.6Sol,85,191,246800,78482,1.5130715,qwen3-solidity-27B-Q6_K.gguf,1
qwen3.6Sol,86,193,509438,56099,0.8490044999999998,qwen3-solidity-27B-Q6_K.gguf,1
qwen3.6Sol,87,196,785239,51540,0.6645685,qwen3-solidity-27B-Q6_K.gguf,1
qwen3.6Sol,88,200,1071436,73689,1.3345410000000002,qwen3-solidity-27B-Q6_K.gguf,1
qwen3.6Sol,89,202,996058,58525,0.8590485000000001,qwen3-solidity-27B-Q6_K.gguf,1
qwen3.6Sol,90,203,809855,57372,0.7533725,qwen3-solidity-27B-Q6_K.gguf,1
qwen3.6Sol,91,205,437975,26883,0.292915,qwen3-solidity-27B-Q6_K.gguf,1
qwen3.6Simple,95,211,411401,26094,0.301392,qwen3.6-27B-Q6_K.gguf,1
qwen3.6Simple,96,213,522255,25526,0.282679,qwen3.6-27B-Q6_K.gguf,1
qwen3.6Simple,97,216,416057,26718,0.324101,qwen3.6-27B-Q6_K.gguf,1
qwen3.6Simple,98,219,1047231,22622,0.206378,qwen3.6-27B-Q6_K.gguf,1
qwen3.6Simple,99,222,869391,26232,0.29878,qwen3.6-27B-Q6_K.gguf,1
qwen3.6Simple,100,225,1060495,28221,0.353688,qwen3.6-27B-Q6_K.gguf,1
qwen3.6Simple,101,227,477252,22673,0.2163185,qwen3.6-27B-Q6_K.gguf,1
qwen3.6Simple,102,229,520598,23625,0.24777899999999997,qwen3.6-27B-Q6_K.gguf,1
qwen3.6Simple,103,232,933848,62138,1.039729,qwen3.6-27B-Q6_K.gguf,1
deepseek-flash,114,250,1082583,59794,0.6969339999999999,deepseek-v4-flash,1
deepseek-flash,115,252,426010,61603,0.714415,deepseek-v4-flash,1
deepseek-flash,116,254,1006629,67967,1.0524350000000002,deepseek-v4-flash,1
deepseek-flash,117,256,944525,78102,1.2294779999999998,deepseek-v4-flash,1
deepseek-flash,118,258,1027578,56726,0.715154,deepseek-v4-flash,1
deepseek-flash,119,260,428502,55545,0.7899690000000001,deepseek-v4-flash,1
deepseek-flash,120,262,941869,56926,0.831486,deepseek-v4-flash,1
deepseek-flash,121,264,963125,69152,0.9615,deepseek-v4-flash,1
deepseek-flash,122,266,1122455,69419,0.956891,deepseek-v4-flash,1
deepseek-flash,123,268,1031987,57963,0.571771,deepseek-v4-flash,1
